Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Baby Storytime,07/05/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,No,
"Mark Jaster presents ""Piccolo's Trunk""",07/05/2016,Jul,FY 17,Twinbrook,Special Event,ACE - All Children Excel,Performing Arts,Elementary School Age,Preschool and Kindergarten,All Ages,"A wordless clownish character enchants with illusions and humorous surprises by engaging students with skillful movement, live music and audience participation in this popular introduction to the art of mime. For children of all ages. Sponsored by the Friends of the Library, Twinbrook chapter. A summertime program for children and families. Space is limited. Only the first 110 people will be admitted to the program.",,Yes,90
Tutoring and Homework Help,07/05/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,22
MC Infants & Toddlers Bilingual Storytime,10/14/2016,Oct,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,28
Tutoring and Homework Help,07/05/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Storytime,07/06/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,84
Summer Family Storytime,07/06/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,5th floor. Come join our children's staff for songs and stories. Ages 0-5. Please choose one time- we expect large crowds.,,No,
Rhyme Time Storytime,07/06/2016,Jul,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,20
Rope Warrior,07/06/2016,Jul,FY 17,Gaithersburg,Special Event,ACE - All Children Excel,,Elementary School Age,Preschool and Kindergarten,All Ages,"The Rope Warrior teaches kids and adults everywhere to get in shape while having fun. The Rope Warrior shows aspiring jump ropers how they can become rope stuntmen and record holders themselves and amaze friends and family with incredible speed and agility. For children of all ages. Sponsored by the Friends of the Library Montgomery County, Inc. A summertime program for children and families.",,Yes,136
Family Storytime,07/06/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,69
Wags For Hope: Read to a Dog,07/06/2016,Jul,FY 17,Damascus,Homework,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with rescued greyhound Zachy, a calm and patient certified therapy dog. First-come, first-served. Ages 5-up. No registration required; no younger siblings. A summertime program for children and families. Call 240-773-9444 for more information.",,Yes,12
Toddler & Preschool Storytime,07/07/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,Yes,21
Blue Sky Puppets presents: BANANAS,07/07/2016,Jul,FY 17,Germantown,Special Event,ACE - All Children Excel,,Elementary School Age,,,"Learn all about exercise, good eating and healthy choices with this fun and interactive puppet show. For children ages 4 and up. LIMITED SEATING. Free tickets available beginning one hour before the program at the Children’s Information Desk. This program is sponsored by the Friends of the Library Montgomery County, Inc, Germantown Chapter. A summertime program for children and families.",,Yes,116
Toddler & Preschool Storytime,07/07/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,57
Construction Crew: DUPLO,07/07/2016,Jul,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,7
Lego Builders,07/07/2016,Jul,FY 17,Davis,Science & Math (STEM),ACE - All Children Excel,,Elementary School Age,Preschool and Kindergarten,,Are you a Lego builder? Join your friends at the library for creative construction and play! We provide the Legos and you provide the imagination! Best for ages 5 and up. Children under 8 must be accompanined by a parent or caregiver. No registration required.,,Yes,27
Tutoring and Homework Help,07/07/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,19
Rhyme Time Storytime,08/17/2016,Aug,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,10
Tutoring and Homework Help,07/07/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
MC Infants & Toddlers Bilingual Storytime,07/08/2016,Jul,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,22
lego weekend,07/08/2016,Jul,FY 17,Silver Spring,Science & Math (STEM),ACE - All Children Excel,,Preschool and Kindergarten,Elementary School Age,,friday 2pm- sunday,,No,
Preschool Storytime,11/02/2016,Nov,FY 17,Olney,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and fun for children ages 2 1/2 to 5.",,Yes,65
LEGO Playtime,07/08/2016,Jul,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three and up. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. During the summertime, this event counts as an activity for the Explore Track of the Children's Summer Read & Learn Program. For more information call 240-777-0240.",,Yes,22
LEGO Crew,07/08/2016,Jul,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,43
Baby/Toddler Storytime,07/09/2016,Jul,FY 17,Olney,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"Stories, rhymes, stretches and songs for babies/toddlers (0-2 years) with parent or caregiver.",,No,35
Tutoring and Homework Help,07/09/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Tutoring and Homework Help,07/09/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
FAMILY PAJAMA STORYTIME,07/09/2016,Jul,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,Elementary School Age,"Wear your pajamas and bring your favorite stuffed animal to this evening storytime for all ages. Stories, songs, and rhymes for the whole family. Free! No registration necessary. A summertime program for children and families. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. #lateatthelibrary Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,40
Read to a Dog,07/11/2016,Jul,FY 17,Bethesda,Special Event,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with certified therapy dogs. First come, first served. No registration required.",,Yes,28
Baby Storytime,07/12/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,28
Blocks: Play and Exploration,07/12/2016,Jul,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,12
Baby Storytime,07/12/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,37
Baby Storytime,07/12/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,No,
Tutoring and Homework Help,07/12/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Storytime,07/13/2016,Jul,FY 17,Bethesda,Storytime,ACE - All Children Excel,,All Ages,,,"Stories, songs, rhymes, and other early literacy activities for children of all ages. Free tickets will be handed out 30 minutes prior to the program. Space is limited. A summertime program for children and families.",,Yes,104
Family Storytime,07/13/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,119
Summer Family Storytime,07/13/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,5th floor. Come join our children's staff for songs and stories. Ages 0-5. Please choose one time- we expect large crowds.,,No,
MC Infants & Toddlers Bilingual Storytime,07/22/2016,Jul,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,19
Rhyme Time Storytime,07/13/2016,Jul,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,37
Family Storytime,07/13/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,78
Wags For Hope: Read to a Dog,07/13/2016,Jul,FY 17,Damascus,Homework,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with rescued greyhound Zachy, a calm and patient certified therapy dog. First-come, first-served. Ages 5-up. No registration required; no younger siblings. A summertime program for children and families. Call 240-773-9444 for more information.",,Yes,9
Cathy Fink and Marcy Marxer,07/13/2016,Jul,FY 17,Noyes Library for Young Children,Special Event,ACE - All Children Excel,Performing Arts,Preschool and Kindergarten,Elementary School Age,Babies and Toddlers,"Two time Grammy award winners Cathy Fink and Marcy Marxer will hold a concert in celebration of Summer Read and Learn. Singing and playing acoustic and electric guitar, banjo, mandolin, ukelele and percussion, Cathy and Marcy engage and entertain audiences of all ages. The concert will be in the courtyard in front of the library, weather permitting. Sponsored by the Friends of the Library Montgomery County, Inc. A summertime program for children and families.",,Yes,118
Toddler & Preschool Storytime,07/14/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,Yes,60
Toddler & Preschool Storytime,07/14/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,57
Construction Crew: DUPLO,07/14/2016,Jul,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,12
Lego Builders,07/14/2016,Jul,FY 17,Davis,Science & Math (STEM),ACE - All Children Excel,,Elementary School Age,Preschool and Kindergarten,,Are you a Lego builder? Join your friends at the library for creative construction and play! We provide the Legos and you provide the imagination! #SummerLearningDay Best for ages 5 and up. Children under 8 must be accompanined by a parent or caregiver. No registration required.,,Yes,50
Tutoring and Homework Help,07/14/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. This week the tutors will meet in the medium meeting room on the second floor. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Storytime,07/20/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 11 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,80
Family Fun Storytime,07/15/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,No,
Family Fun Storytime,07/15/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,Yes,40
Family Fun Storytime,07/15/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,No,
Family Fun Storytime,07/15/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Come join us for fun as we read stories, sing songs, and enjoy fingerplays. Appropriate for all ages. NOTE: Held during our CLOSED HOURS to accommodate lots of singing, dancing, and wiggling! Storytime is available on a first come first served basis. Please Note: Noyes is a small one-room library and WE MUST CLOSE OUR DOORS IF WE REACH CAPACITY.",,No,
MC Infants & Toddlers Bilingual Storytime,07/15/2016,Jul,FY 17,Gaithersburg,Z_Visits In,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,open bilingual storytime hosted in the library by MC Infants & Toddlers,,No,20
LEGO Playtime,07/15/2016,Jul,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three and up. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. During the summertime, this event counts as an activity for the Explore Track of the Children's Summer Read & Learn Program. For more information call 240-777-0240.",,Yes,16
LEGO Crew,07/15/2016,Jul,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,35
Family Storytime,07/16/2016,Jul,FY 17,Bethesda,Storytime,ACE - All Children Excel,,All Ages,,,"Stories, songs, rhymes, and other early literacy activities for children of all ages. Free tickets will be handed out 30 minutes prior to the program. Space is limited. A summertime program for children and families.",,Yes,59
Tutoring and Homework Help,07/16/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Tutoring and Homework Help,07/16/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Under the Sea,07/16/2016,Jul,FY 17,Twinbrook,Science & Math (STEM),ACE - All Children Excel,Special Event,Elementary School Age,Preschool and Kindergarten,,"Children learn about the ecology of the ocean and the characteristics and adaptations of marine animals such as crabs, sea snails, clams, sea urchins, starfish and fishes. For children of all ages. Sponsored by the Friends of the Library Montgomery county, Inc. STEM program. A summertime program for children and families. Space is limited. Only the first 110 people will be admitted to the program.",,Yes,48
Wags For Hope: Read to a Dog,07/16/2016,Jul,FY 17,Damascus,Homework,ACE - All Children Excel,,Elementary School Age,,,"School-age children, especially beginners learning to read and those who want to improve their confidence in reading skills, are invited to practice reading aloud in short (10-15 minute) semi-private sessions with a calm and patient certified therapy dog. First-come, first-served. No registration required; no younger siblings. FREE. A summertime program for children and families. Call 240-773-9444 for more information.",,Yes,1
Family Evening Storytime -- BUILD IT!!,07/20/2016,Jul,FY 17,Noyes Library for Young Children,ACE - All Children Excel,Storytime,,Preschool and Kindergarten,Elementary School Age,,"Come join us for fun as we read stories about building structures, sing songs, and enjoy fingerplays. Then we'll do some creative building of our own! This storytime is geared toward preschool, kindergarten and early elementary aged children. No registration necessary.",,Yes,42
Tutoring and Homework Help,07/18/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Pajama Storytime!,07/18/2016,Jul,FY 17,Maggie Nightingale (Poolesville),Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"Stories, rhymes, songs and more for ages three to six with an adult. Pajamas not required but encouraged!",,Yes,31
Baby Storytime,07/19/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,53
Blocks: Play and Exploration,07/19/2016,Jul,FY 17,Wheaton,Science & Math (STEM),ACE - All Children Excel,,Babies and Toddlers,Preschool and Kindergarten,,"Free play and exploration with our giant building bricks (age 18 mos to 3), soft vinyl blocks (6 mos to 18 mos) and Duplo-type bricks (2 to 5). We have plenty, please leave your blocks at home.",,Yes,8
